"country","ID0","lon","lat","pop","ISO3","ADMIN","REGION","continent","GEO3major","GEO3","IMAGE24","GLOCAF","Stern","SRESmajor","SRES","GBD","AVOIDnumeric","AVOIDname","LDC","SID","LLDC","include"
"Angola",8,14.9355555555556,-10.4002201996477,25000494,"AGO","Angola","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",24,"Southern and East Africa","LDC","other","other",TRUE
"Burundi",39,29.8270917678812,-3.24521884085726,10744389,"BDI","Burundi","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"Benin",25,2.2019406392694,7.15534500769107,10294241,"BEN","Benin","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Burkina Faso",38,-1.53533429406511,12.3344599588238,18955589,"BFA","Burkina Faso","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","LLDC",TRUE
"Botswana",31,26.5323529411765,-23.4563078703704,2170403,"BWA","Botswana","Africa","Africa","Africa","Southern Africa","Southern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Southern",24,"Southern and East Africa","other","other","LLDC",TRUE
"Central African Republic",46,18.175,5.06726270502823,5413588,"CAF","Central African Republic","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","LLDC",TRUE
"Côte d'Ivoire",57,-6.28697171097477,6.50812506104111,23146179,"CIV","Ivory Coast","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other",TRUE
"Cameroon",41,10.4074905592767,5.49086778890292,23849619,"CMR","Cameroon","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other",TRUE
"Democratic Republic of the Congo",63,15.3169048156792,-4.33048678875819,79305117,"COD","Democratic Republic of the Congo","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","LDC","other","other",TRUE
"Republic of Congo",185,15.2861532148221,-4.24610744102215,4760972,"COG","Republic of the Congo","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","other","other","other",TRUE
"Comoros",54,43.474314068885,-11.8727546714889,699790,"COM","Comoros","Africa","Africa","Africa","Western Indian Ocean","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","SID","other",TRUE
"Cape Verde",43,-23.6448071216617,15.1142174175894,484035,"CPV","Cape Verde","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","SID","other",TRUE
"Djibouti",65,43.1127522825564,11.5642735061072,759266,"DJI","Djibouti","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other",TRUE
"Algeria",5,4.75919076117,36.0727930461273,39475824,"DZA","Algeria","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other",TRUE
"Egypt",69,31.3237777777778,30.1530946474201,88970569,"EGY","Egypt","Africa","Africa","Africa","North Africa","Northern Africa","North Africa","North Africa","ALM","Middle East and North Africa (MEA)","North Africa/Middle East",22,"North Africa","other","other","other",TRUE
"Eritrea",72,38.9254737769943,15.3201508663787,6397461,"ERI","Eritrea","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","other",TRUE
"Ethiopia",74,38.755901585422,9.00728453315996,99458763,"ETH","Ethiopia","Africa","Africa","Africa","Eastern Africa","Eastern Africa","Sub-Sarahan Africa","South+E Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, East",24,"Southern and East Africa","LDC","other","LLDC",TRUE
"Gabon",83,9.47535479102271,0.373878624694441,1701978,"GAB","Gabon","Africa","Africa","Africa","Central Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, Central",23,"West Africa","other","other","other",TRUE
"Ghana",87,-1.14166666666668,6.49757360756803,25892846,"GHA","Ghana","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","other","other","other",TRUE
"Guinea",97,-12.0425438596491,10.2125612518015,11599310,"GIN","Guinea","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Gambia",84,-16.6859209096802,13.4224868865039,1959443,"GMB","Gambia","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","other","other",TRUE
"Guinea-Bissau",96,-15.3264724310777,12.0433874458874,1627035,"GNB","Guinea Bissau","Africa","Africa","Africa","Western Africa","Western Africa","Sub-Sarahan Africa","West Africa","ALM","Sub-Saharan Africa (AFR)","Sub-Saharan Africa, West",23,"West Africa","LDC","SID","other",TRUE
