date,Liberia,Sierra Leone,Guinea
2014-07-01,11,9,0
2014-07-02,4,9,0
2014-07-03,4,9,0
2014-07-04,3,9,0
2014-07-05,3,9,0
2014-07-06,3,13,0
2014-07-07,3,13,0
2014-07-08,3,13,0
2014-07-09,3,13,0
2014-07-10,4,13,0
2014-07-11,4,13,0
2014-07-12,4,12,0
2014-07-13,4,12,0
2014-07-14,4,12,0
2014-07-15,4,12,0
2014-07-16,4,5,0
2014-07-17,4,5,0
2014-07-18,0,0,0
2014-07-19,22,5,0
2014-07-20,5,5,0
2014-07-21,5,5,0
2014-07-22,5,5,0
2014-07-23,5,5,0
2014-07-24,5,25,0
2014-07-25,25,25,4
2014-07-26,0,25,4
2014-07-27,0,25,4
2014-07-28,23,2,8
2014-07-29,23,2,8
2014-07-30,23,2,8
2014-07-31,23,2,8
2014-08-01,23,20,6
2014-08-02,23,20,6
2014-08-03,38,36,6
2014-08-04,38,36,6
2014-08-05,24,22,5
2014-08-06,24,22,5
2014-08-07,19,13,0
2014-08-08,19,13,0
2014-08-09,15,11,0
2014-08-10,15,11,5
2014-08-11,15,11,5
2014-08-12,71,33,4
2014-08-13,58,13,4
2014-08-14,58,13,4
2014-08-15,23,13,8
2014-08-16,23,13,8
2014-08-17,23,13,8
2014-08-18,23,13,8
2014-08-19,23,13,8
2014-08-20,89,16,23
2014-08-21,89,16,23
2014-08-22,0,16,5
2014-08-23,0,16,5
2014-08-24,59,16,5
2014-08-25,59,16,5
2014-08-26,59,16,5
2014-08-27,59,16,5
2014-08-28,59,16,5
2014-08-29,45,30,10
2014-08-30,45,30,10
2014-08-31,45,30,10
2014-09-01,45,30,10
2014-09-02,45,30,27
2014-09-03,45,30,27
2014-09-04,45,30,27
2014-09-05,64,30,13
2014-09-06,64,30,13
2014-09-07,64,30,13
2014-09-08,64,30,13
2014-09-09,4,30,13
2014-09-10,64,30,14
2014-09-11,64,30,14
2014-09-12,64,30,14
2014-09-13,64,30,14
2014-09-14,64,30,14
2014-09-15,64,30,14
2014-09-16,64,30,14
2014-09-17,0,9,0
2014-09-18,303,53,6
2014-09-19,78,35,16
2014-09-20,78,35,16
2014-09-21,78,35,16
2014-09-22,78,35,16
2014-09-23,129,26,7
2014-09-24,129,26,7
2014-09-25,0,26,0
2014-09-26,35,26,10
2014-09-27,35,26,10
2014-09-28,35,26,10
2014-09-29,35,26,10
2014-09-30,35,26,10
2014-10-01,238,283,83
2014-10-02,69,66,21
2014-10-03,69,66,21
2014-10-04,18,70,19
2014-10-05,18,70,19
2014-10-06,18,70,19
2014-10-07,18,70,19
2014-10-08,18,70,19
2014-10-09,76,80,26
2014-10-10,76,80,26
2014-10-11,34,60,12
2014-10-12,34,60,12
2014-10-13,34,60,12
2014-10-14,34,60,12
2014-10-15,34,60,12
2014-10-16,6,79,18
2014-10-17,6,79,18
2014-10-18,80,49,18
2014-10-19,80,49,18
2014-10-20,80,49,18
2014-10-21,80,49,18
2014-10-22,80,49,18
2014-10-23,0,49,0
2014-10-24,0,95,6
2014-10-25,0,95,6
2014-10-26,119,334,15
2014-10-27,119,334,15
2014-10-28,119,334,15
2014-10-29,119,334,15
2014-10-30,119,17,15
2014-10-31,119,17,15
2014-11-01,119,17,15
2014-11-02,119,17,15
2014-11-03,119,17,15
2014-11-04,119,17,15
2014-11-05,119,3,15
2014-11-06,119,3,15
2014-11-07,119,3,15
2014-11-08,119,3,23
2014-11-09,119,3,23
2014-11-10,119,3,23
2014-11-11,119,3,23
2014-11-12,119,3,23
2014-11-13,35,109,20
2014-11-14,35,109,20
2014-11-15,35,97,10
2014-11-16,35,97,10
2014-11-17,35,97,10
2014-11-18,35,97,10
2014-11-19,35,97,10
2014-11-20,6,58,38
2014-11-21,6,58,38
2014-11-22,17,81,17
2014-11-23,17,81,17
2014-11-24,17,81,17
2014-11-25,17,81,17
2014-11-26,17,81,17
2014-11-27,38,101,5
2014-11-28,38,101,5
2014-11-29,130,102,5
2014-11-30,130,102,5
2014-12-01,130,102,5
2014-12-02,0,203,5
2014-12-03,18,0,9
2014-12-04,18,0,9
2014-12-05,18,0,9
2014-12-06,9,0,30
2014-12-07,9,243,30
2014-12-08,9,243,30
2014-12-09,0,24,4
2014-12-10,0,24,4
2014-12-11,46,166,47
